ESPESSURAMM,PESOKGM2
254,1991.9
203.2,1593.5
177.8,1394.3
165.1,1294.7
152.4,1195.1
139.7,1095.5
127,995.9
114.3,896.3
101.6,796.7
95.25,747
88.9,697.2
82.55,647.4
76.2,597.6
69.85,547.8
63.5,498
60.32,473
57.15,448.2
53.97,423.2
50.8,398.4
47.63,373.5
44.45,348.6
41.28,323.7
38.1,298.8
34.93,273.9
31.75,249
28.58,224.1
25.4,199.2
23.81,186.7
22.23,174.3
20.64,161.8
19.05,149.4
17.46,35
15.88,37
15.08,118.3
14.29,112
13.5,105.8
12.7,99.6
11.91,93.4
11.11,87.1
10.32,80.9
9.53,74.7
8.73,68.5
7.94,62.2
7.14,56
6.35,49.8
5.56,43.6
4.76,37.3
4.55,36.6
4.18,33.6
3.8,30.5
3.42,27.5
3.17,25
3.04,24.4
2.66,21.4
2.28,18.3
1.9,15.3
1.71,13.7
1.52,12.2
1.37,11
1.21,9.8
1.06,8.5
.91,7.3
.84,6.7
.76,6.1
.68,5.5
.61,4.9
.53,4.3
.46,3.7
.42,3.4
.38,3.1
.34,2.7
.31,2.4
